Рейтинг,Рейтинг кинокритиков,Название,Оригинальное название,Главные роли,год,страна,слоган,режиссер,сценарий,продюсер,оператор,композитор,художник,монтаж,жанр,бюджет,сборы в США,сборы в мире,сборы в России,зрители,премьера (мир),премьера (РФ),релиз на DVD,релиз на Blu-ray,возраст,рейтинг MPAA,время
9.111,90%,Побег из Шоушенка,The Shawshank Redemption,"Тим Роббинс, Морган Фриман, Боб Гантон, Уильям Сэдлер, Клэнси Браун, Джил Беллоуз, Марк Ролстон, Джеймс Уитмор, Джеффри ДеМанн, Ларри Бранденбург, ..., ",1994,США,«Страх - это кандалы. Надежда - это свобода»,Фрэнк Дарабонт,"Фрэнк Дарабонт,  Стивен Кинг","Лиз Глоцер,  Дэвид В. Лестер,  Ники Марвин",Роджер Дикинс,Томас Ньюман,"Теренс Марш,  Soheil,  Питер Лэндсдаун Смит, ...",Ричард Фрэнсис-Брюс,"драма, ... слова",$25 000 000,$28 341 469,+ $77 218 = $28 418 687 сборы,$87 432,"6.66 млн,      1.25 млн,      427.2 тыс., ...","10 сентября 1994, ...","24 октября 2019,                             «Иноекино»","1 сентября 1999,                        «Videogram»","27 августа 2009,                        «Союз-Видео»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,142 мин. / 02:22
9.062,78%,Зеленая миля,The Green Mile,"Том Хэнкс, Дэвид Морс, Бонни Хант, Майкл Кларк Дункан, Джеймс Кромуэлл, Майкл Джитер, Грэм Грин, Даг Хатчисон, Сэм Рокуэлл, Барри Пеппер, ..., ",1999,США,«Пол Эджкомб не верил в чудеса. Пока не столкнулся с одним из них»,Фрэнк Дарабонт,"Фрэнк Дарабонт,  Стивен Кинг","Фрэнк Дарабонт,  Дэвид Валдес",Дэвид Тэттерсолл,Томас Ньюман,"Теренс Марш,  Уильям Крус,  Керин Вагнер, ...",Ричард Фрэнсис-Брюс,"фантастика,  драма,  криминал,  детектив, ... слова",$60 000 000,$136 801 374,+ $150 000 000 = $286 801 374 сборы,,"26 млн,      2.11 млн,      1.74 млн, ...","6 декабря 1999, ...","18 апреля 2000,                             «West»","13 февраля 2001,                        «West Video»",,"зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,189 мин. / 03:09
8.913,70%,Форрест Гамп,Forrest Gump,"Том Хэнкс, Робин Райт, Салли Филд, Гэри Синиз, Майкелти Уильямсон, Майкл Коннер Хэмпфри, Ханна Р. Холл, Сэм Андерсон, Шиван Фэллон, Ребекка Уильямс, ..., ",1994,США,"«Мир уже никогда не будет прежним, после того как вы увидите его глазами Форреста Гампа»",Роберт Земекис,"Эрик Рот,  Уинстон Грум","Венди Файнерман,  Стив Старки,  Стив Тиш, ...",Дон Бёрджесс,Алан Сильвестри,"Рик Картер,  Лесли МакДональд,  Уильям Джеймс Тигарден, ...",Артур Шмидт,"драма,  мелодрама,  комедия,  история,  военный, ... слова",$55 000 000,$329 694 499,+ $347 693 217 = $677 387 716 сборы,$84 460,"78.5 млн,      7.62 млн,      3.96 млн, ...","23 июня 1994, ...","13 февраля 2020,                             «Иноекино»","1 декабря 2009,                        «Юниверсал Пикчерс Рус»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,142 мин. / 02:22
8.818,97%,Список Шиндлера,Schindler's List,"Лиам Нисон, Бен Кингсли, Рэйф Файнс, Кэролайн Гудолл, Эмбет Дэвидц, Йонатан Сэгаль, Малгоша Гебель, Шмуэль Леви, Марк Иванир, Беатриче Макола, ..., ",1993,США,«Этот список - жизнь»,Стивен Спилберг,"Стивен Зеллиан,  Томас Кенилли","Бранко Лустиг,  Джералд Р. Молен,  Стивен Спилберг, ...",Януш Камински,Джон Уильямс,"Аллан Старски,  Анна Б. Шеппард",Майкл Кан,"драма,  биография,  история,  военный, ... слова",$22 000 000,$96 065 768,+ $225 240 537 = $321 306 305 сборы,,"23 млн,      6.1 млн,      2.33 млн, ...","30 ноября 1993, ...","21 мая 1994,                             «Ист-Вест»","28 сентября 2004,                        «Premier Digital»","11 апреля 2013,                        «Двадцатый Век Фокс СНГ»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,195 мин. / 03:15
8.807,75%,1+1,Intouchables,"Франсуа Клюзе, Омар Си, Анн Ле Ни, Одри Флеро, Жозефин де Мо, Клотильд Молле, Альба Гайя Крагеде Беллуджи, Сирил Менди, Салимата Камате, Абса Дьяту Тур, ..., ",2011,Франция,«Sometimes you have to reach into someone else's world to find out what's missing in your own»,"Оливье Накаш,  Эрик Толедано","Оливье Накаш,  Филипп Поццо ди Борго,  Эрик Толедано","Николя Дюваль-Адассовски,  Лоран Зэйтун,  Ян Зеноу, ...",Матьё Вадпьед,Людовико Эйнауди,"Франсуа Эммануэлли,  Матьё Вадпьед,  Изабель Паннетье, ...",Дориан Ригаль-Ансу,"драма,  комедия,  биография, ... слова",€9 500 000,$10 198 820,+ $416 389 690 = $426 588 510  сборы,$1 725 813,"19.4 млн,      9.11 млн,      2.58 млн, ...","23 сентября 2011, ...","26 апреля 2012,                             «Каскад фильм»","28 мая 2012,                        «Новый Диск»","25 июня 2012,                        «Новый Диск»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,112 мин. / 01:52
8.662,87%,Начало,Inception,"Леонардо ДиКаприо, Джозеф Гордон-Левитт, Эллен Пейдж, Том Харди, Кэн Ватанабэ, Дилип Рао, Киллиан Мёрфи, Том Беренджер, Марион Котийяр, Пит Постлетуэйт, ..., ",2010,"США,  Великобритания",«Твой разум - место преступления»,Кристофер Нолан,Кристофер Нолан,"Кристофер Нолан,  Эмма Томас,  Закария Алауи, ...",Уолли Пфистер,Ханс Циммер,"Гай Диас,  Люк Фриборн,  Брэд Рикер, ...",Ли Смит,"фантастика,  боевик,  триллер,  драма,  детектив, ... слова",$160 000 000,$292 576 195,+ $535 745 837 = $828 322 032  сборы,$21 760 177,"37.1 млн,      13.5 млн,      6.13 млн, ...","8 июля 2010, ...","22 июля 2010,                             «Каро-Премьер»","7 декабря 2010,                        «Юниверсал Пикчерс Рус»","7 декабря 2010,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,148 мин. / 02:28
8.681,72%,Леон,Léon,"Жан Рено, Гари Олдман, Натали Портман, Дэнни Айелло, Питер Эппел, Уилли Уан Блад, Дон Крич, Кит А. Гласко, Рэндольф Скотт, Майкл Бадалукко, ..., ",1994,Франция,"«Вы не можете остановить того, кого не видно»",Люк Бессон,Люк Бессон,"Клод Бессон,  Джон Гарлэнд,  Бернард Гренет, ...",Тьерри Арбогаст,Эрик Серра,"Дэн Вейл,  Жерар Дролон,  Магали Гвидаси, ...",Сильви Ландра,"боевик,  триллер,  драма,  криминал, ... слова",FRF 115 000 000,$19 501 238  сборы,,,"4.67 млн,      3.62 млн,      590.9 тыс., ...","14 сентября 1994, ...",,"29 марта 2007,                        «CP-Digital»","10 ноября 2010,                        «Кармен Видео»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,133 мин. / 02:13
8.772,93%,Король Лев,The Lion King,"Мэттью Бродерик, Джереми Айронс, Нэйтан Лейн, Эрни Сабелла, Джеймс Эрл Джонс, Мойра Келли, Роуэн Эткинсон, Вупи Голдберг, Чич Марин, Никета Калам, ..., ",1994,США,«The Circle of Life»,"Роджер Аллерс,  Роб Минкофф","Ирен Меччи,  Джонатан Робертс,  Линда Вулвертон, ...","Дон Хан,  Элис Дьюи,  Сара МакАртур, ...",,Ханс Циммер,"Крис Сандерс,  Энди Гэскилл",Иван Биланкио,"мультфильм,  мюзикл,  драма,  приключения,  семейный, ... слова",$45 000 000,$312 855 561,+ $450 600 000 = $763 455 561  сборы,,"89.1 млн,      11.3 млн,      10.1 млн, ...","7 мая 1994, ...",22 марта 2012,"24 апреля 2012,                        «Уолт Дисней Компани СНГ»","24 апреля 2012,                        «Уолт Дисней Компани СНГ»",для любой зрительской аудитории,нет возрастных ограничений,88 мин. / 01:28
8.644,78%,Бойцовский клуб,Fight Club,"Эдвард Нортон, Брэд Питт, Хелена Бонем Картер, Мит Лоаф, Зэк Гренье, Холт Маккэллани, Джаред Лето, Эйон Бэйли, Ричмонд Аркетт, Дэвид Эндрюс, ..., ",1999,"США,  Германия",«Интриги. Хаос. Мыло»,Дэвид Финчер,"Джим Улс,  Чак Паланик","Росс Грэйсон Белл,  Сиан Чаффин,  Джон С. Дорси, ...",Джефф Кроненвет,"Даст Бразерс,  Джон Кинг,  Майкл Симпсон","Алекс Макдауэлл,  Крис Горак,  Майкл Каплан, ...",Джеймс Хэйгуд,"триллер,  драма,  криминал, ... слова",$63 000 000,$37 030 102,+ $63 823 651 = $100 853 753 сборы,$334 590,"7.3 млн,      1.37 млн,      1.04 млн, ...","10 сентября 1999, ...","13 января 2000,                             «Гемини»","9 августа 2007,                        «Двадцатый Век Фокс СНГ»","17 декабря 2009,                        «Двадцатый Век Фокс СНГ»","зрителям, достигшим 18 лет",лицам до 17 лет обязательно присутствие взрослого,139 мин. / 02:19
8.782,,Иван Васильевич меняет профессию,,"Александр Демьяненко, Юрий Яковлев, Леонид Куравлёв, Наталья Крачковская, Савелий Крамаров, Наталья Селезнёва, Владимир Этуш, Михаил Пуговкин, Сергей Филиппов, Наталья Кустинская, ..., ",1973,СССР,-,Леонид Гайдай,"Владлен Бахнов,  Леонид Гайдай,  Михаил Булгаков",,"Виталий Абрамов,  Сергей Полуянов",Александр Зацепин,Евгений Куманьков,Клавдия Алеева,"фантастика,  комедия,  приключения, ... слова",,,,,60.7 млн,"17 сентября 1973, ...",,"9 июня 2009,                        «Lizard Cinema Trade»","9 марта 2011,                        «Парадиз»","зрителям, достигшим 12 лет",,88 мин. / 01:28
